0	2023-12-25 11:46:02Z	Sorry, planned but not yet available
1	2023-12-28 16:26:08Z	What is the Zettlekasten method
2	2023-12-29 19:06:38Z	Statistical association
3	2023-12-29 08:59:15Z	Similarity and distance
4	2023-12-26 10:20:51Z	Distances vs dissimilarities
5	2023-12-27 16:14:14Z	Clustering
6	2023-12-27 14:23:47Z	Clustering process
7	2023-12-28 10:21:08Z	Traditional clustering algorithms
8	2023-12-29 22:03:47Z	Hackernews Bookmarks
9	2023-12-29 22:22:10Z	Clustering validation
10	2023-12-29 22:15:25Z	Clustering validity based on internal criteria
11	2023-12-28 14:43:14Z	Academic paper bookmark
12	2023-12-28 15:33:00Z	CS/Stats useful learning materials
13	2023-12-28 16:22:51Z	Awesome dev and analysis CLI tools
14	2023-12-28 16:29:38Z	Phytotherapy ressources
15	2023-12-28 16:30:42Z	Artisanal breadmaking steps
16	2023-12-29 14:47:48Z	What about metric distances and space?
17	2023-12-29 14:54:44Z	Clustering with semimetric distances
18	2023-12-29 15:19:03Z	Tree, forest and dendrogram
19	2023-12-29 18:31:02Z	Align images with wordwrap in markdown
20	2023-12-29 22:11:14Z	External criteria for clustering validation
21	2023-12-29 19:07:36Z	Simple and adjusted Rand indices
22	2023-12-29 21:02:55Z	Hubert' gamma statistic
23	2023-12-29 22:02:01Z	Cophenetic distances and correlation
